System,Type,Type_ref,Gaia_ID,ra,ra_error,dec,dec_error,parallax,parallax_error,distance_gspphot,distance_gspphot_upper,distance_gspphot_lower,pmra,pmra_error,pmdec,pmdec_error,pm,radial_velocity,radial_velocity_error
HAT-P-67,F5,,Gaia DR3 1358614983131339392,256.6107298,0.008663342,44.77688235,0.009823918,2.686931987,0.01009964,368.2143,374.0003,365.1296,9.541390644,0.011205032,-18.25073647,0.012623115,20.594357,-1.6711453,0.60960907
HAT-P-7,F6V,2013MNRAS.433.2097F,Gaia DR3 2129256395211984000,292.2471862,0.01015957,47.96954406,0.010569662,2.999065211,0.011364033,--,--,--,-18.32487498,0.014262368,8.851426008,0.013935658,20.350645,-10.227906,0.25424847
HAT-P-8,F8V,2013MNRAS.428..182B,Gaia DR3 1891507552826485632,343.0415059,0.014803225,35.44717987,0.015819734,4.660607775,0.020797191,213.1909,214.093,212.2794,74.67645497,0.019426998,14.94429424,0.02006703,76.157104,-22.041786,0.22362284
HATS-30,,,Gaia DR3 4906145613282734208,5.618518976,0.008055846,-59.94258995,0.008093067,2.912278562,0.011044969,337.4406,338.7081,336.1865,-22.33972129,0.009884785,-5.038898314,0.01123413,22.900953,0.21361746,0.7498505
HATS-37,,,Gaia DR3 6194574671813047424,199.8018267,0.047539182,-22.98684219,0.037804656,4.760576543,0.059434265,200.2924,202.8646,195.0496,-21.89510362,0.060162865,6.314193762,0.03974823,22.787378,6.9404926,0.51235306
HATS-48,,,Gaia DR3 6638412919991750912,288.6720057,0.012646141,-59.57934964,0.013732165,3.684733991,0.018612556,271.2924,273.9671,269.5404,3.171909266,0.01615301,6.152906999,0.013354852,6.9223747,-20.335001,1.8658215
HATS-58,,,,,,,,,,,,,,,,,,,
HATS-65,,,Gaia DR3 6766134630213144704,292.9397819,0.012390223,-26.74020215,0.012250274,2.018578844,0.014178132,490.5103,493.9589,487.3315,-3.393776782,0.014055742,-0.229766416,0.012485632,3.4015458,-14.929991,2.5985925
HATS-74,,,Gaia DR3 3545653561942122368,171.0147863,0.03320715,-19.55695335,0.026346665,3.424782522,0.04191937,--,--,--,-38.9922622,0.042772967,39.57832196,0.034395494,55.559338,--,--
HD 100655,G9III,,Gaia DR3 3979226627820659072,173.7653543,0.021162935,20.44154084,0.026440343,7.234507791,0.029444145,--,--,--,-59.89736061,0.02586394,-0.996171227,0.025190866,59.905643,-5.161237,0.13228858
HD 101930,K2V+,2006AJ....132..161G,Gaia DR3 5341787994441794176,175.8756123,0.01274169,-58.0053313,0.014598976,33.38140418,0.017959077,--,--,--,16.67999947,0.017503545,349.1253791,0.018964421,349.52362,18.185888,0.12344411
HD 102365,G2V,2006AJ....132..161G,Gaia DR3 5381537023379295232,176.6205206,0.05680687,-40.49856515,0.05863287,107.3024339,0.08731465,9.3339,9.4436,9.3129,-1530.97051,0.06000649,403.2865749,0.07325505,1583.1964,16.94267,0.118458375
HD 102956,K0III,,Gaia DR3 845335158256083584,177.8436957,0.012671911,57.640656,0.013000028,8.169064992,0.01805351,119.667,120.9343,117.7089,-12.00237152,0.015942464,-17.53002728,0.016797002,21.245207,-26.043434,0.11705196
HD 103774,F6V,1999MSS...C05....0H,Gaia DR3 3574907305749250432,179.2310552,0.018155644,-12.10799786,0.015579281,17.79875149,0.027288398,56.0292,56.1297,55.9484,-125.0768656,0.022827435,-19.94988149,0.017346183,126.65788,-2.9305987,0.121135
HD 106515,K0-V,2003AJ....126.2048G,,,,,,,,,,,,,,,,,
HD 107148,G5V,1999MSS...C05....0H,Gaia DR3 3693358861640279296,184.8059697,0.021029318,-3.319999244,0.016354265,20.24801044,0.028255887,49.2507,49.3209,49.178,-54.5647665,0.03376359,-47.37599602,0.022828955,72.26202,25.231924,0.12873532
HD 108341,K2V,1975MSS...C01....0H,Gaia DR3 5842782219960409728,186.8791196,0.010406542,-71.42247367,0.010556224,20.430068,0.012568741,48.8996,48.9312,48.8682,-120.9150671,0.012826811,114.240259,0.015489675,166.3469,56.696373,0.15518796
HD 109749,G3V,1982PASP...94..304L,Gaia DR3 6147000074988843264,189.31732,0.019780558,-40.81214664,0.017306373,15.81342102,0.026280481,63.1029,63.239,62.9648,-157.3075116,0.021834414,-6.357479269,0.020224959,157.43593,-13.124438,0.132685
HD 110082,F6/7V,1975MSS...C01....0H,Gaia DR3 5765748511163751936,192.5892054,0.010295281,-88.12111318,0.011434684,9.51121945,0.011999784,104.9605,105.0873,104.8265,-18.74041459,0.012641294,-17.89609346,0.015597742,25.912802,2.9267962,0.3768603
HD 113996,K5-III,1989ApJS...71..245K,Gaia DR3 1460876573902483328,196.7948793,0.08008067,27.62442856,0.08557845,8.598944925,0.13266973,122.0043,122.6318,121.5383,34.15493678,0.12514876,-69.53863659,0.18109833,77.47375,-15.890281,0.12694353
HD 114729,G0V,2006AJ....132..161G,Gaia DR3 6180035765135232128,198.183367,0.015379673,-31.87471836,0.014238618,26.33776957,0.01871934,37.9106,37.9411,37.8742,-199.9274281,0.019895801,-308.1299587,0.016520394,367.30783,64.94375,0.124783345
HD 114762,F9VgF8mF4+M6?V,2013yCat....1.2023S,Gaia DR3 3937211745905473024,198.0795467,0.077853836,17.51712428,0.066571645,26.19785167,0.10816515,38.4357,38.6063,38.2739,-580.9987483,0.12597264,1.062050987,0.14199933,580.9997,49.63159,0.17909902
HD 116029,K1IV,1997JApA...18..161Y,Gaia DR3 1446584503287858560,200.1646884,0.016926879,24.64846526,0.012445618,8.120393914,0.025020376,122.3353,122.8237,121.9113,-14.32154418,0.025043983,-52.25240159,0.016530579,54.179516,-6.739653,0.11857863
HD 11964,G9VCN+1,2006AJ....132..161G,Gaia DR3 2462426800883134336,29.28837342,0.024075536,-10.24350298,0.014397577,29.79282178,0.024518276,--,--,--,-366.9970029,0.03826788,-242.3856569,0.015286745,439.81543,-9.392241,0.11960152
HD 125612,G3V,1988MSS...C04....0H,Gaia DR3 6296703260330865536,215.2227095,0.024917059,-17.48182409,0.022548791,17.289653,0.027880002,57.6973,57.7864,57.5967,-60.25996443,0.034376852,-67.31421546,0.027133515,90.346375,-18.249695,0.15381078
HD 126614,G8IV,1999MSS...C05....0H,Gaia DR3 3641697998570813952,216.7004962,0.016495397,-5.178429568,0.013730577,13.6633138,0.016580151,72.9784,73.0693,72.8953,-149.760483,0.023250038,-145.8367902,0.017769676,209.03725,-32.699764,0.15063737
HD 132563,F8III,,,,,,,,,,,,,,,,,,
HD 133131,G2V+G2V,1972A&A....18..341S,,,,,,,,,,,,,,,,,
HD 142,F7V,2006AJ....132..161G,Gaia DR3 4976894960284258048,1.583799065,0.01700703,-49.07536819,0.020568669,38.19453347,0.035520833,26.1689,26.1961,26.1405,575.0993084,0.017257318,-40.87409569,0.023774054,576.55,5.7567415,0.1160367
HD 142022,G9IV-V,2006AJ....132..161G,Gaia DR3 5768159705804908800,242.5477065,0.013737896,-84.23175381,0.016443267,29.19911865,0.017200772,34.0907,34.1185,34.0596,-337.2704483,0.019196784,-31.38612228,0.023290636,338.7277,-9.961685,0.13421611
HD 142245,K0,1993yCat.3135....0C,Gaia DR3 1193193836691820032,238.2342361,0.017287588,15.4306088,0.013774642,10.23737783,0.022432208,97.0832,97.3599,96.8131,-57.31166375,0.020034017,-21.6410383,0.017195404,61.261417,6.6801343,0.11783459
HD 147379,M1-Ve,1989ApJS...71..245K,Gaia DR3 1642641410934267008,244.1723899,0.01526464,67.23921577,0.014311981,92.87660494,0.014588618,10.768,10.7932,10.7478,-497.9154284,0.018054526,84.04651524,0.018186517,504.95898,-19.619755,0.13084833
HD 147513,G5V,2006A&A...460..695T,Gaia DR3 6018047019138644480,246.0058027,0.057033733,-39.19296557,0.038358666,77.56546482,0.066113755,12.8827,12.8955,12.8646,73.74835928,0.08200179,3.366538625,0.05878225,73.82516,12.845835,0.12912242
HD 147873,G1V,1982MSS...C03....0H,Gaia DR3 6024733935303422208,246.438044,0.027797727,-33.56722492,0.016620157,9.079629997,0.028979711,108.2113,108.9293,107.598,-18.68486575,0.036454007,-22.7975631,0.024648763,29.476315,22.955942,0.1568265
HD 155233,K1III,1988MSS...C04....0H,Gaia DR3 4116106136072676608,257.7681376,0.021585645,-20.65518327,0.013855631,13.36685858,0.028057287,75.0555,75.2291,74.8628,-9.822652458,0.02930866,-138.3382161,0.020457285,138.68651,-10.446684,0.121484205
HD 156846,G1V,1988MSS...C04....0H,Gaia DR3 4122343906051101184,260.1423164,0.019656526,-19.33438493,0.013653706,20.96835127,0.022890199,47.5339,47.6188,47.0933,-137.0760579,0.028970147,-143.3776231,0.018713543,198.36075,-68.56453,0.12194873
HD 16141,G2V,1974AJ.....79..682H,Gaia DR3 2495335115182966016,38.83234577,0.023298416,-3.562549586,0.020894906,26.50571796,0.027086018,37.8206,38.0616,37.7209,-155.5013599,0.03193539,-437.8477711,0.024878213,464.64108,-50.954742,0.12366924
HD 16417,G1V,2006AJ....132..161G,Gaia DR3 5062172841616745856,39.24409983,0.015343766,-34.57912647,0.0205559,39.29461609,0.030513747,25.522,25.6514,25.4391,-18.36289553,0.018027961,-259.0017084,0.026518108,259.65186,11.155645,0.11674504
